scientificName,taxon_corrigido,nome_comum_final
Chamaecrista nictitans,Chamaecrista nictitans,falsa-dormideira
Chamaecrista rotundifolia,Chamaecrista rotundifolia,alfafa-nativa
Chilopoda,Chilopoda,lacraia
Chionomesa fimbriata,Chionomesa fimbriata,beija-flor-de-garganta-verde
Chloris barbata,Chloris barbata,
Chloris virgata,Chloris virgata,capim-pavão
Chordeiles acutipennis,Chordeiles acutipennis,bacurau-de-asa-fina
Christella dentata,Christella dentata,samambaia-rabo-de-gato
Chroicocephalus cirrocephalus,Chroicocephalus cirrocephalus,gaivota-de-cabeça-cinza
Cicadellidae,Cicadellidae,cigarrinha
Cissus verticillata,Cissus verticillata,uva-do-mato
Cleome aculeata,Cleome aculeata,cleome
Coccinellidae,Coccinellidae,joaninha 
Coereba flaveola,Coereba flaveola,cambacica
Colaptes campestris,Colaptes campestris,pica-pau-do-campo
Columba livia,Columba livia,pombo-doméstico
Columbina picui,Columbina picui,rolinha-picuí
Columbina squammata,Columbina squammata,rolinha-fogo-apagou
Columbina talpacoti,Columbina talpacoti,rolinha-roxa
Commelina erecta,Commelina erecta,trapoeraba
Condylostylus longicornis,Condylostylus longicornis,mosca-de-pernas-longas
Conirostrum speciosum,Conirostrum speciosum,figuinha-de-rabo-castanho
Conyza bonariensis,Conyza bonariensis,buva
Coprinellus,Coprinellus,
Coragyps atratus,Coragyps atratus,urubu-de-cabeça-preta
Coronopus didymus,Coronopus didymus,Mastruço-do-brasil
Crepis capillaris,Crepis capillaris,barba-de-falcão
Crotophaga ani,Crotophaga ani,anu-preto
Cubaris murina,Cubaris murina,tatuzinho-de-jardim
Cucumis anguria,Cucumis anguria,maxixe
Culicidae,Culicidae,
Cyanerpes cyaneus,Cyanerpes cyaneus,saíra-beija-flor
Cyanthillium cinereum,Cyanthillium cinereum,emília
Cycloneda sanguinea,Cycloneda sanguinea,joaninha-sem-pintas
Cymaenes tripunctus,Cymaenes tripunctus,borboleta-de-três-pintas
Cynodon dactylon,Cynodon dactylon,grama-bermuda
Cyperus esculentus,Cyperus esculentus,tiriricão
Cyperus rotundus,Cyperus rotundus,tiririca
Cyrtocymura scorpioides,Cyrtocymura scorpioides,erva-de-são-simão
Dactyloctenium aegyptium,Dactyloctenium aegyptium,
Danaus erippus,Danaus erippus,borboleta-monarca-do-sul
Desmodium incanum,Desmodium incanum,pega-pega
Desmodium triflorum,Desmodium triflorum,
Digitaria insularis,Digitaria insularis,capim-amargoso
Dione juno,Dione juno,borboleta-do-maracujá
Dione vanillae,Dione vanillae,borboleta-paixão
Diplopoda,Diplopoda,embuá; piolho-de-cobra; millipede
Dirinaria,Dirinaria,líquen-crostoso
Drosophila melanogaster,Drosophila melanogaster,mitinga/mosca-da-fruta
Drymaria cordata,Drymaria cordata,orelha-de-rato
Dysdercus,Dysdercus,percevejo-manchador
Dysphania ambrosioides,,Erva-de-santa-maria
Echinocystis lobata,,pepino-bravo
Eclipta prostrata,Eclipta prostrata,falsa-margarida
Ectatomma,Ectatomma,formiga-preta
Egretta thula,Egretta thula,garça-branca-pequena
Elaenia flavogaster,Elaenia flavogaster,guaracava-de-barriga-amarela
Elaenia spectabilis,Elaenia spectabilis,guaracava-grande
Eleusine indica,Eleusine indica,capim-pé-de-galinha
Emilia fosbergii,Emilia fosbergii,algodão-de-preá
Emilia sonchifolia,Emilia sonchifolia,serralinha
Eriophora edax,Eriophora edax,aranha-tecedeira
Estrilda astrild,Estrilda astrild,bico-de-lacre
Eulaema nigrita,Eulaema nigrita,abelha-de-orquídea
Eupetomena macroura,Eupetomena macroura,beija-flor-tesoura
Euphonia chlorotica,Euphonia chlorotica,fim-fim
Euphonia violacea,Euphonia violacea,gaturamo-verdadeiro
Euphorbia,Euphorbia,
Euphorbia graminea,Euphorbia graminea,ponta-de-flecha
Euphorbia heterophylla,Euphorbia heterophylla,amendoim-bravo
Euphorbia hirta,Euphorbia hirta,erva-de-santa-luzia
Euphorbia hyssopifolia,Euphorbia hyssopifolia,maria-leite
Euphorbia prostrata,Euphorbia prostrata,quebra-pedra-rasteira
Eupsittula aurea,Eupsittula aurea,periquito-rei
Euryops chrysanthemoides,,margarida-do-mato africana
Evolvulus evolvulus,,azulzinha
Evolvulus nummularius,Evolvulus nummularius,
Falco,Falco,falcão
Falco sparverius,Falco sparverius,quiriquiri
Fidicina,Fidicina,cigarra
Fidicina,Fidicini,cigarra
Flavopunctelia soredica,Flavopunctelia soredica,líquen-folioso
Fluvicola nengeta,Fluvicola nengeta,lavadeira-mascarada
Formicidae,Formicidae,formiga
Furnarius figulus,Furnarius figulus,casaca-de-couro-da-lama
Furnarius rufus,Furnarius rufus,joão-de-barro
Gomphrena celosioides,Gomphrena celosioides,perpétua-branca
Gomphrena globosa,Gomphrena globosa,perpétua-rosa
Gryllidae,Gryllidae,grilo
Gryne,Gryne,opilião
Guira guira,Guira guira,anu-branco
Hamadryas amphinome,Hamadryas amphinome,boboleta-assenta-pau
Hamadryas feronia,Hamadryas feronia,borboleta-estaladeira
Heliconius erato,Heliconius erato,borboleta-castanha-vemelha
Helix aspersa,,caracol-de-jardim
Hemiargus hanno,Hemiargus hanno,borboleta-azulzinha-do-trevo
Hemidactylus mabouia,Hemidactylus mabouia,lagartixa-doméstica-tropical
Heteroptera,Heteroptera,percevejo
Hirundinidae,Hirundinidae,andorinha 
Hygrocybe,Hygrocybe,cogumelo-laranja
Hylophilus thoracicus,Hylophilus thoracicus,vite-vite
Hymenoptera,Hymenoptera,vespa
Indigofera hirsuta,Indigofera hirsuta,anileira
Ipomoea,Ipomoea,ipoméia
Ithomiini,Ithomiini,borboleta-asa-de-vidro
Julida,Juliformia,gongolo
Juliformia,Juliformia,gongolo
Junonia evarete,Junonia evarete,borboleta-olho-de-pavão-diúrno
Lagria villosa,Lagria villosa,bicho-capixaba
Lantana camara,Lantana camara,lantana
Laportea aestuans,Laportea aestuans,urtiga-vermelha
Latrodectus,Latrodectus,aranha-preta
Leonurus sibiricus,Leonurus sibiricus,erva-macaé
Lepidium didymum,Lepidium didymum,mentrusto
Lepidium virginicum,Lepidium virginicum,mastruz
Lepidoptera,Lepidoptera,boboleta/mariposa
Leptodactylus fuscus,Leptodactylus fuscus,rã-assobiadora
Leptodactylus latrans,Leptodactylus latrans,rã-manteiga
Leucaena leucocephala,Leucaena leucocephala,leucena
Leucauge argyra,Leucauge argyra,aranha-de-mandibula-longa
Lucilia sericata,Lucilia sericata,mosca-verde
Lycianthes asarifolia,Lycianthes asarifolia,joá-rasteiro
Lycogala,Lycogala,
Lycoperdon,Lycoperdon,cogumelo-bufa-de-lobo
Lycosa,Lycosa,aranha-lobo
Machetornis rixosa,Machetornis rixosa,suiriri-cavaleiro
Macroptilium atropurpureum,Macroptilium atropurpureum,feijão-de-pombo
Mantodea,Mantodea,louva-a-deus
Marasmius,Marasmius,
Marsypianthes chamaedrys,Marsypianthes chamaedrys,betônica-brava
Mechanitis polymnia,Mechanitis polymnia,maria-boba
Megarynchus pitangua,Megarynchus pitangua,neinei
Melothria cucumis,Melothria cucumis,pepino-do-mato
Membracis trimaculata,Membracis trimaculata,soldadinho-mímico
Milvago chimachima,Milvago chimachima,gavião-carrapateiro
Mimosa pudica,Mimosa pudica,dormideira
Mimus saturninus,Mimus saturninus,sabiá-do-campo
Misumenops maculissparsus,Misumenops maculissparsus,aranha-caranguejo
Molothrus bonariensis,Molothrus bonariensis,chupim
Momordica charantia,Momordica charantia,melão-de-são-caetano
Musca domestica,Musca domestica,mosca-doméstica
Myiarchus tyrannulus,Myiarchus tyrannulus,maria-cavaleira-de-rabo-enferrujado
Myiozetetes similis,Myiozetetes similis,bentevizinho-de-penacho-vermelho
Nemosia pileata,Nemosia pileata,saíra-de-chapéu-preto
Neoponera foetida,Neoponera foetida,
Nephilingis cruentata,Nephilingis cruentata,maria-bola
Nephrolepis exaltata,Nephrolepis exaltata,samambaia-americana
Nicotiana plumbaginifolia,Nicotiana plumbaginifolia,tabaco
Nicotiana tabacum,Nicotiana tabacum,tabaco
Notiochelidon cyanoleuca,Notiochelidon cyanoleuca,andorinha-pequena-de-casa
Odonata,Odonata,libélula
Odontomachus,Odontomachus,formiga-de-estalo
Oeceoclades maculata,Oeceoclades maculata,orquídea-monge
Oldenlandia corymbosa,Oldenlandia corymbosa,erva-diamante
Oniscidea,Oniscidea,tatuzinho-de-jardim
Orphulella punctata,Orphulella punctata,gafanhotinho
Oxalis barrelieri,Oxalis barrelieri,erva-azeda; azedinha 
Oxalis corniculata,Oxalis corniculata,trevo-azedinho
Oxalis latifolia,Oxalis latifolia,trevo-azedo
Oxidus gracilis,Oxidus gracilis,mil-pés
Palpada mexicana,Palpada mexicana,mosca-das-flores
Panicum maximum,Panicum maximum,capim-colonião
Parabuteo unicinctus,Parabuteo unicinctus,gavião-asa-de-telha
Parthenium hysterophorus,Parthenium hysterophorus,losna-branca
Paspalum notatum,Paspalum notatum,capim-forquilha
Passer domesticus,Passer domesticus,pardal
Passiflora alata,Passiflora alata,maracujá
Patagioenas picazuro,Patagioenas picazuro,asa-branca; pomba-asa-branca; pocaçu
Pentatomidae,Pentatomidae,maria-fedida
Peperomia pellucida,Peperomia pellucida,erva-jabuti
Pepsini,Pepsini,vespa-caçadora
Phobetron,Phobetron,lagarta aranha
Phoebis marcellina,Phoebis marcellina,borboleta-gema
Phyllanthus tenellus,Phyllanthus tenellus,quebra-pedra
Piaya cayana,Piaya cayana,alma-de-gato
Picumnus cirratus,Picumnus cirratus,picapauzinho-barrado
Piper tuberculatum,Piper tuberculatum,
Pitangus sulphuratus,Pitangus sulphuratus,bem-te-vi
Plexippus paykulli,Plexippus paykulli,aranha-saltadora-pantropical
Polistes,Polistes,marimbondo
Polybia,Polybia,vespa
Pontoscolex corethrurus,Pontoscolex corethrurus,minhoca-mansa
Portulaca,Portulaca,
Portulaca halimoides,Portulaca halimoides,beldroega-de-seda
Portulaca oleracea,Portulaca oleracea,beldroega
Primolius maracana,Primolius maracana,maracanã
Priva lappulacea,Priva lappulacea,carrapicho
Progne tapera,Progne tapera,andorinha-do-campo
Pseudomyrmex,Pseudomyrmex,maria-magra
Psidium guajava,Psidium guajava,goiaba
Psilodum,Psilodum,samambaia-palito 
Pycnoscelus surinamensis,Pycnoscelus surinamensis,Barata-de-jardim
Pygochelidon cyanoleuca,Pygochelidon cyanoleuca,andorinha-pequena-de-casa
Ramalina complanata,Ramalina complanata,ramalina
Rhipsalis lindbergiana,Rhipsalis lindbergiana,cacto-macarrão
Rhynchospora speciosa,Rhynchospora speciosa,capim-estrela
Richardia brasiliensis,Richardia brasiliensis,poaia-branca
Ricinus communis,Ricinus communis,mamona
Rivina humilis,Rivina humilis,baga-de-sangue
Rostrhamus sociabilis,Rostrhamus sociabilis,gavião-caramujeiro
Ruellia blechum,Ruellia blechum,camarão-verde
Ruellia paniculata,Ruellia paniculata,ruélia
Rumex obtusifolius,Rumex obtusifolius,lingua-de-vaca
Rupornis magnirostris,Rupornis magnirostris,gavião-carijó
Salticidae,Salticidae,aranha-papa-mosca
Sarasinula plebeia,Sarasinula plebeia,lesma-feijão
Sarcophaga,Sarcophaga,mosca-varejeira
Schefflera actinophylla,Schefflera actinophylla,árvore-guarda-chuva
Schinus terebinthifolia,Schinus terebinthifolia,aroeira
Scolopendridae,Scolopendridae,lacraia
Serpophaga subcristata,Serpophaga subcristata,alegrinho
Setaria parviflora,Setaria parviflora,capim-rabo-de-raposa
Setophaga pitiayumi,Setophaga pitiayumi,mariquita
Sicalis flaveola,Sicalis flaveola,canário-da-terra
Sida,Sida,
Sida acuta,Sida acuta,reloginho
Siproeta stelenes,Siproeta stelenes,borboleta-malaquita
Solanum,Solanum,
Solanum americanum,Solanum americanum,maria-pretinha
Solanum diphyllum,Solanum diphyllum,tomatinho-amarelo
Solanum paniculatum,Solanum paniculatum,jurubeba
Solanum sisymbriifolium,Solanum sisymbriifolium,arrebenta-cavalo
Solanum torvum,Solanum torvum,jurubeba
Solenopsis,Solenopsis,formiga-quente; formiga-lava-pés; formiga-de-fogo
Sonchus asper,Sonchus asper,serralha-crespa
Sonchus oleraceus,Sonchus oleraceus,seralha
Spermacoce verticillata,Spermacoce verticillata,vassourinha-de-botão
Streptoprocne zonaris,Streptoprocne zonaris,taperuçu-de-coleira-branca
Struthanthus flexicaulis,Struthanthus flexicaulis,erva-de-passarinho
Strymon,Strymon,borboletinha que mexe a asinha
Strymon bobustus,Strymon bobustus,borboletinha que mexe a asinha
Subulina octona,Subulina octona,caracol-de-jardim
Syagrus romanzoffiana,Syagrus romanzoffiana,jerivá
Synallaxis frontalis,Synallaxis frontalis,petrim
Syntermes molestus,Syntermes molestus,cupim-bate-cabeça
Syzygium cumini,Syzygium cumini,jamelão
Tachycineta albiventer,Tachycineta albiventer,andorinha-de-rio
Talinum fruticosum,Talinum fruticosum,beldroega-grande
Talinum paniculatum,Talinum paniculatum,beldroegão
Tangara cayana,Tangara cayana,saíra-amarela
Tapera naevia,Tapera naevia,saci
Termitoidae,Termitoidae,cupim
Tersina viridis,Tersina viridis,saí-andorinha
Thamnophilus doliatus,Thamnophilus doliatus,choca-barrada
Thorybes dorantes,Thorybes dorantes,mariposa-de-cauda-lilás
Thraupis palmarum,Thraupis palmarum,sanhaço-do-coqueiro
Thraupis sayaca,Thraupis sayaca,sanhaçu-cinzento
Thunbergia alata,Thunbergia alata,susana-dos-olhos-negros
Tillandsia gardneri,Tillandsia gardneri,cravo-do-mato sp5
Tillandsia loliacea,Tillandsia loliacea,cravo-do-mato sp4
Tillandsia recurvata,Tillandsia recurvata,cravo-do-mato sp2
Tillandsia stricta,Tillandsia stricta,cravo-do-mato
Tillandsia tricholepis,Tillandsia tricholepis,cravo-do-mato sp3
Todirostrum cinereum,Todirostrum cinereum,ferreirinho-relógio
Tolmomyias flaviventris,Tolmomyias flaviventris,bico-chato-amarelo
Trachelopachys,Trachelopachys,aranha-flamenguista 
Trametes cubensis,Trametes cubensis,
Trametes sanguinea,Trametes sanguinea,orelha-de-pau
Trema micrantha,Trema micrantha,periquiteira
Trianthema portulacastrum,Trianthema portulacastrum,
Tridax procumbens,Tridax procumbens,erva-de-touro
Trigona spinipes,Trigona spinipes,abelha-cachorro
Triplaris americana,Triplaris americana,pau-formiga 
Troglodytes musculus,Troglodytes musculus,curruíra
Tropidurus torquatus,Tropidurus torquatus,calango; tropiduro-comum
Turdus leucomelas,Turdus leucomelas,sabiá-barranco
Turdus rufiventris,Turdus rufiventris,sabiá-laranjeira
Turnera subulata,Turnera subulata,xanana
Tyrannus melancholicus,Tyrannus melancolichus,suiriri
Uroleucon,Uroleucon,pulgão-vermelho
Usnea barbata,Usnea barbata,barba-de-velho
Vanellus chilensis,Vanellus chilensis,quero-quero
Varronia curassavica,Varronia curassavica,erva-baleeira
Vernonanthura,Vernonanthura,assa-peixe
Vespidae,Vespidae,vespa
Volatinia jacarina,Volatinia jacarina,tiziu
Xanthoria parietina,Xanthoria parietina,líquen-amarelo
Xylocopa frontalis,Xylocopa frontalis,Mamangava; mangangá; abelha-carpinteira
Youngia japonica,Youngia japonica,barba-de-falcão
Zenaida auriculata,Zenaida auriculata,pomba-de-bando; avoante
Zonotrichia capensis,Zonotrichia capensis,tico-tico
Zornia latifolia,Zornia latifolia,arrozinho-do-campo
